,text
0,Félicitations à @EmmanuelMacron pour votre réélection à la Présidence de la République Française. La France est l’un de nos alliés les plus proches et les plus importants. Je suis heureux de continuer à travailler ensemble sur les sujets-clés pour nos deux pays et pour le monde.
1,"Congratulations to @EmmanuelMacron on your re-election as President of France. France is one of our closest and most important allies. I look forward to continuing to work together on the issues which matter most to our two countries and to the world. 

🇬🇧🇫🇷"
2,"We are deepening our partnership of peace and prosperity with India.  

With its connections to the UK’s own Neasden Temple, the Swaminarayan Akshardham Temple in Gujarat is a true symbol of the strong links between India and the UK. 

🇬🇧🇮🇳 https://t.co/tQBiwi4Wgm"
3,As much as I disagree with @AngelaRayner on almost every political issue I respect her as a parliamentarian and deplore the misogyny directed at her anonymously today.
4,"We will be reopening our embassy in Kyiv, demonstrating our solidarity with the Ukrainian people.

And the UK government is helping to collect evidence of war crimes.

Russia must be held to account for its actions. 2/2"
5,"Today I spoke with President @ZelenskyyUa to update him on the latest steps the UK is taking to support Ukraine.

We are providing further military aid, including protected mobility vehicles.

We have issued new sanctions against members of the Russian military. 1/2"
6,"The UK and India share a deep relationship and we are working as closely as ever.

I am filled with optimism about the years ahead, and the security and prosperity that our partnership can deliver for generations to come. 

🇬🇧🇮🇳 https://t.co/ME6SW6kFWq"
7,Today is the day we come together with pride to fly the flag of St George and celebrate everything that makes England a fantastic part of our United Kingdom. https://t.co/55d04nx15O
8,"On our trip to India we have agreed deals to deliver:

✅ £1 billion in new investment 
✅ 11,000 UK jobs 
✅ Growth and prosperity 

Thanks to @narendramodi and the Indian people for their warm welcome 

🇬🇧🇮🇳 https://t.co/QoGyng6whU"
9,"On #StephenLawrenceDay we reflect on his legacy &amp; the part we all must play in building a fairer society where young people can achieve their dreams. 
 
My thoughts are with Stephen's family, who fought hard for justice, and all those who have lost loved ones to barbaric racism."
10,"RT @10DowningStreet: UK and Indian businesses have confirmed more than £1 billion in new investments and export deals.

The UK-India partne…"
11,"Putin continues his brutal assault in the Donbas, but the fact we are able to reopen our embassy in Kyiv is a testament to the courage of Ukrainians successfully resisting Russian aggression. 

Our commitment to Ukraine remains unflinching. https://t.co/S63gK0qdr5"
12,"A Free Trade Agreement with India could double our trade and investment by the end of the decade.

As the third round of talks begin next week, @NarendraModi and I are telling our negotiators: get it done by Diwali.

🇬🇧🇮🇳 https://t.co/np4UJsEq61"
13,"As India celebrates its 75th year of independence, I’m hugely optimistic about the depth of the friendship between our countries, and the security and prosperity it can deliver for our peoples for generations to come.

🇬🇧🇮🇳 https://t.co/4MP62aAHiW"
14,"Looking forward to meeting with my friend @NarendraModi today in New Delhi. 

From climate change to energy security to defence, the partnership of our democracies is vital as the world faces growing threats from autocratic states."
15,"It’s been a real pleasure to be in Gujarat today to see the fruits of the incredible partnership between the UK and our friends in India.

Today we have confirmed more than £1 billion in new investments between our two great countries, creating almost 11,000 new jobs in the UK. https://t.co/dvR0OG775n"
16,"I’m delighted to wish Your Majesty a very happy 96th birthday.

Our hearts swell with appreciation and pride that Your Majesty is our Queen. https://t.co/HeDrXugNya"
17,"I was honoured to follow in the footsteps of millions in visiting the Gandhi Ashram in Ahmedabad today.

As the world faces renewed conflict, Mahatma Gandhi’s teachings remind us of the power of peace in changing the course of history. https://t.co/c8cnZM0taR"
18,"It’s fantastic to be in India, the world’s largest democracy.

I see vast possibilities for what our great nations can achieve together.
 
Our powerhouse partnership is delivering jobs, growth and opportunity. I look forward to strengthening this partnership in the coming days. https://t.co/bx0iXHDYov"
19,"RT @RishiSunak: Earlier my representatives, along with US &amp; Canadian counterparts left today’s G20 meeting in Washington as Russian delegat…"
20,"This afternoon I spoke to @POTUS and other foreign leaders about the situation in Ukraine.

I updated them on my visit to Kyiv earlier this month and we agreed to work together to find a long-term security solution so that Ukraine could never again be attacked in this way."
21,"Today we’ve launched a nationwide discount on rail tickets to help with the cost of living. 

The Great British Rail Sale is the first of its kind and will offer up to 50% off more than 1 million rail tickets this Spring. 

Make the most of this great saving and buy yours today. https://t.co/wxCZKufhse"
22,"I was delighted to submit four constituency nominations for the #NHSParlyAwards; @H4All_Charity, @HillingdonNHSFT, @CNWLNHS and @TheConfedHill.

They do incredible work caring and supporting the people of Uxbridge &amp; South Ruislip. https://t.co/wo0EVMFlS0"
23,"RT @grantshapps: 🚆London to Edinburgh for just £22, Manchester to Newcastle for a mere £10.30. 

We’re easing the burden this Spring by sla…"
24,"My visit to India will deliver on the things that really matter to the people of both our nations – from job creation and economic growth, to energy security and defence. 3/3"
25,"India, as a major economic power and the world’s largest democracy, is a highly valued strategic partner for the UK in these uncertain times. 2/3"
26,"This week I’ll be travelling to India, to deepen the long-term partnership between our countries. 

As we face threats to our peace and prosperity from autocratic states, it is vital that democracies and friends stick together. 1/3 https://t.co/Dw1yZQq6UG"
27,"Будьте сильні і майте в серцї одвагу, ви всї, що вповаєте на Господа. 2/2 https://t.co/mA7I7P9no1"
28,"Wishing Christians around the world a happy and blessed #Easter, including the Christians of Ukraine – whether you are marking Easter today or later this month.

May the risen Christ’s message of hope bring you strength.

1/2 https://t.co/ChRimI3hzG"
29,"I updated my friend @ZelenskyyUa this afternoon on further military aid we will provide to Ukraine in the coming days.

The UK will stop at nothing to ensure Ukrainians have the resources they need to defend their country from the ongoing Russian onslaught. #StandWithUkraine️"
30,RT @pritipatel: 🇬🇧🤝🇷🇼 This is what the new UK-Rwanda partnership is all about 👇🏽 https://t.co/ejZnmGJzLm
31,"Chag Sameach to Jews here in the UK and across the globe gathering around the Seder table this evening.  

Wherever you are making matzah and whoever you are breaking it with, I hope this Passover brings you joy and renewed hope. https://t.co/t04dOqP1Jq"
32,"Puthandu Vazthukal to all Tamils and a happy Aluth Avurudda to all Sinhalese people. 

New Year marks a new lease of life as we recognise the outstanding contribution of these communities in the UK and around the world."
33,We are taking bold action to tackle the vile people smuggling trade and fix our broken asylum system. https://t.co/MHisLf9ofC
