,text
0,"The American people want the facts, the truth, and a plan for attacking our nation’s energy issue. https://t.co/GaEZjK4Lcy"
1,The southern border needs a wall.
2,"“A new commandment I give to you, that you love one another: just as I have loved you, you also are to love one another.” — John 13:34"
3,Chuck and I are saddened by his passing and join Americans in praying for the entire Hatch family.
4,"Senator Orrin Hatch was an exceptional statesman and true freedom fighter. I enjoyed working with him on intellectual property issues to protect our creative communities — like the Music Modernization Act, which would not have been possible without his leadership."
5,"“Freedom is never more than one generation away from extinction. We didn't pass it to our children in the bloodstream. It must be fought for, protected, and handed on for them to do the same.” – President Ronald Reagan"
6,"During my visit to @FortCampbell last week, we discussed the importance of employment resources for servicemembers and their spouses. 
 
This will be a wonderful opportunity for our military families who are planning their next chapters in life. https://t.co/uICkV7KNYT"
7,We must fight every single day to safeguard our freedoms.
8,It is incumbent on each of us to call out and condemn anti-Semitism wherever we find it. Senator Frank Niceley’s anti-Semitic comments are repulsive and are not representative of Tennessee conservative values.
9,"What an inspiring story. Thank you to these state troopers and all of our emergency officials who work so diligently to help Tennesseans in need. 
 
We continue to pray for Sevier County residents who are rebuilding after much devastation. https://t.co/TprvMYxnZi"
10,"My beautiful mother, Mary Jo Morgan Wedgeworth, 97, was a lifelong resident of Laurel, a woman of God, and avid gardener. She was a role model and taught me the importance of leaving things in better shape than you found them. https://t.co/fpvhKkTh2o"
11,He is Risen. Wishing you a blessed Easter Sunday! https://t.co/aMYTSWUF1u
12,"“But the angel said to the women, ‘Do not be afraid, for I know that you seek Jesus who was crucified. He is not here, for he has risen, as he said. Come, see the place where he lay.’” — Matthew 28:5-6"
13,Getting ready to dye some Easter eggs? The price of your normal dozen is up 11.2% since last year.
14,Happy Passover to our Jewish friends who are celebrating their freedom. https://t.co/G9kQifq18o
15,"“But God shows his love for us in that while we were still sinners, Christ died for us.” — Romans 5:8"
16,The Democratic Party has pushed a big government agenda that is failing hardworking taxpayers.
17,"Xi Jinping is incapable of admitting defeat while seeking a third term. He has doubled down on his zero-COVID policy while locking down over 25 million citizens in Shanghai, leaving them without access to food and essentials."
18,"Big tech, the mainstream media, and the radical left are scared of free speech."
19,"RT @MarshaBlackburn: As we work on priorities for this year’s national defense bill in Washington, I was glad to be at @FortCampbell to dis…"
20,"RT @ylanmui: NEW statement from @MarshaBlackburn on Elon Musk &amp; $TWTR:

“Twitter’s censors are freaking out about Elon Musk because they ca…"
21,Always enjoy a visit to Cheatham County! I spoke with local officials about how they maintain workforce and community development throughout their rapid growth. https://t.co/1ht08uVisX
22,"With inflation at a new 40-year high, families are paying an average of $5,200 more a year.

I met with local leaders in Robertson County to discuss how Joe Biden’s spending has affected the local economy and job growth. https://t.co/oNwtis4n2c"
23,"As we work on priorities for this year’s national defense bill in Washington, I was glad to be at @FortCampbell to discuss how I can continue to support our servicemembers and their families. https://t.co/ipbKhJmC6r"
24,Twitter’s censors are freaking out about Elon Musk because they can’t buy his silence. It’s clear big tech can’t handle people with a different viewpoint.
